Municipality,Administering Agency,Amount Allocated,Funding Source,Max $ Assistance per household (total),"Household Assistance Details (# of months, max per month, etc)",Area Median Income Elgibility,Program Timeline,Contact info,Link to application,Notes,Unnamed: 11,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Brockton,NeighborWorks Housing Solution,"$250,000 CDBG, $250,000 HOME-TBRA","CDBG, HOME-TBRA",Not specified,Not specified,Households up to 50% AMI,Not specified,Not specified,https://nhsmass.org/covid-19-response/,,,5.0,5.0,5.0,5.0,5.0,5.0,18.0,17.0,34.0,32.0,3.0,3.0,14.0,14.0,13.0,13.0,17.0,16.0,10.0,10.0,3.0,3.0,4.0,4.0,8.0,8.0,2.0,2.0,11.0,11.0,5.0,5.0,25.0,24.0,7.0,7.0,8.0,8.0
Boston,City of Boston,"$8,000,000","Round 1 of a rental relief lottery occurred on 4/13- $3 million, round 2 of the lottery in early June - $5 million in federal stimulus funds.","$4,000",Not specified,Households up to 80% AMI,Ongoing,"Dominique Williams, Duputy Director, domonique.williams@boston.gov ",https://www.boston.gov/departments/neighborhood-development/office-housing-stability/rental-relief-fund,,,,,0.0,1.0,0.0,2.0,2.0,18.0,1.0,9.0,0.0,2.0,0.0,4.0,3.0,19.0,2.0,16.0,0.0,6.0,1.0,11.0,0.0,3.0,,,,,1.0,7.0,0.0,6.0,2.0,13.0,0.0,4.0,0.0,2.0
Brookline,The Brookline Center,$1.2 million from Town Sources plus Private Fundraising via the Brookline Community Foundation,"$100,000 from Brookline Housing Trust and $375,000 from CDBG and $725,000 from Private Fundraising","$3,000",Not specified,No specific income limit - Funds to be used for emergency needs due to current public health crisis.,Ongoing,"Brookline Safety Net Fund, 617-277-8107",https://forms.office.com/Pages/ResponsePage.aspx?id=HQmUXz98l0q6pVK3WxWA1vG9zHoqrNpHjDXQ1mdlObxUNElNUU5YV0dHNU9OSTFWN09TTUIxOUxCSi4u,"Funds can be used for Rent or Mortgage Payments as well as food, utilities, or appliances/furniture.  Available to anyone who lives or works in Brookline. Trained Social workers also link people to public benefits if eligible.",,,,,,,,,,,,,,3.0,2.0,8.0,5.0,1.0,1.0,,,3.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,
Cambridge,City of Cambridge,"$1.5 million is available to assist cost-burdened residents with rent or homeownership (excluding mortgage) costs.

","Donations were used for Mayor's Distaster Relief Funds, ","$4,000",Not specified,Households up to 100% AMI,Through end of July 2020,"Chris Cotter, Housing Director, ccotter@cambridgema.gov",https://www.cambridgema.gov/-/media/Files/citymanagersoffice/COVID19/MDRF/2020mayorsdisasterrelieffundforcovid19informationandinstructions_042120.pdf https://www.cambridgema.gov/covid19/housingfund,First round was Mayor's Disaster Relief Funds and second round is Housing Stabalization Program.,,,,0.0,1.0,0.0,1.0,2.0,3.0,11.0,12.0,10.0,11.0,0.0,1.0,1.0,2.0,,,10.0,11.0,0.0,1.0,1.0,2.0,,,2.0,3.0,2.0,3.0,3.0,4.0,0.0,1.0,12.0,13.0,0.0,1.0
Canton,MCO Housing Services,"$52,000",CPA,"$7,500","Up to 70% of rent or deed restricted mortgage (max of $2,500 per month for up to 3 months, can be current or past due",Households up to 100% AMI,Through end of December 2020,"Laura Smead (Town Planner), lsmead@town.canton.ma.us 781-575-6575",In development by MCO Housing Services,https://mcohousingservices.com/pdfs/rental-relief-application-canton.pdf,,,,,,,,,,,,,,37.0,8.0,4.0,1.0,,,23.0,5.0,,,,,4.0,1.0,,,,,,,,,9.0,2.0,,
Chatham,Housing Assistance Corp (HAC),"$150,000",CPA,Not specified,Not specified,"Households up to 100% AMI ($96,600 or a family of 4) based on post-COVID-19 gross income or increases in expenses due to COVID-19",Through 2021,"Aly Sabatino, Asabatino@chatham-ma.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Chelsea Restoration,"$1,250,000",CPA,"$5,000",Over 3 months,"30% Area Median Income (AMI) or below
 50% AMI or below",Lottery for assistance conducted and funds all disbursed,"Helen Zucco, hzucco@chelsearestoration.org, (617) 889-2277
","Not available, closed",Families that are not receiving other assistance may be eligible,,2.0,1.0,,,,,,,8.0,3.0,8.0,3.0,25.0,9.0,14.0,5.0,39.0,14.0,25.0,9.0,17.0,6.0,2.0,1.0,,,22.0,8.0,8.0,3.0,5.0,2.0,,,25.0,9.0,19.0,7.0
Eastham,Harwich Ecumenical Council for Housing (HECH),Not specified,Trust/CPA,"$6,000",Max assistance is per year,"Households up to 80% AMI, but 100% AMI for COVID relief",12 month program starting August 2020,"Paul Lagg, Eastham Affordable Housing Trust, 508-240-5900 ext.3228",https://hech.org/hech-programs/eastham-rental-assistance/,Eastham already had a rental assistance program for residents and expanded it for COVID relief using the existing administering agency.,,,,20.0,1.0,,,,,,,,,,,,,,,20.0,1.0,20.0,1.0,40.0,2.0,,,,,,,,,,,,,,
Easthampton,RFQ in process,"$300,000",CPA,"$3,000",Not specified,Households up to 100% AMI,One year,"Jamie Webb, Assistant Planner, jwebb@easthamptonma.gov",TBD,,,,,,,,,12.0,2.0,18.0,3.0,,,,,,,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,
Easton,MetroWest Collaborative Development,"$80,000",Trust,"$3,000",Up to 3 months of assistance,Households up to 80% AMI,Not specified,Robyn@metrowestcd.org,"https://www.easton.ma.us/newsdetail_T1_R819.php
","Once the initial phase has run, the Easton Affordable Housing Trust will work with Metro West to evaluate and revise / expand / amend the program as warranted.",,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex,Action Inc.,Not specified,Not specified,Not specified,Not specified,Housholds up to 80% AMI,Not specified,"Action Inc., 978-282-1000",https://actioninc.org/rental-and-mortgage-assistance-now-available/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitchburg,"MOC, Inc.","$230,000","Trust, CDBG-CV",Not specified,Up to 3 months of assistance,Households up to 80% AMI,Not specified,"Wendy Lopez, MOC wlopez@mocinc.org","Households in Need would contact the Family Resource Center for a referral to Wendy, Wendy screens applicants and refers them to the best match for assistance, (CDBG-CV, ERMA, RAFT, etc.)","Includes rent, mortgage, and utilities",,,,,,2.0,1.0,44.0,18.0,14.0,6.0,14.0,6.0,44.0,18.0,44.0,18.0,37.0,15.0,34.0,14.0,19.0,8.0,34.0,14.0,12.0,5.0,24.0,10.0,7.0,3.0,7.0,3.0,37.0,15.0,2.0,1.0,17.0,7.0
Framingham,City of Framingham,Not specified,"For emergency fund, the city is using CDBG and CARES act funds.","$5,000",Up to two months of documented expenses,Not specified,Not specified,Communitydevelopment@framinghamma.gov 508-532-5457,https://www.framinghamma.gov/2901/Housing-Assistance,Framingham has existing rental assistance program and developed an additional program that is less restrictive for COVID relief,,,,,,2.0,2.0,2.0,2.0,11.0,8.0,5.0,4.0,55.0,38.0,30.0,21.0,32.0,22.0,39.0,27.0,21.0,15.0,8.0,6.0,24.0,17.0,29.0,20.0,17.0,12.0,2.0,2.0,55.0,38.0,2.0,2.0,10.0,7.0
Georgetown,Georgetown Affordable Housing Trust,"$22,000",Trust,"$3,000",Not specified,Housholds up to 80% AMI,Through end of June,"Paul Nelson, GAHT, paul_nelson@verizon.net",https://www.georgetownma.gov/affordable-housing-trust/pages/affordable-housing-trust-emergency-rental-assistance-program-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester,Action Inc.,Not specified,CPA,Not specified,Not specified,Housholds up to 80% AMI,Not specified,"Action Inc., 978-282-1000",https://actioninc.org/rental-and-mortgage-assistance-now-available/,,,,,,,,,6.0,2.0,3.0,1.0,,,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,3.0,1.0
Grafton,MCO Housing Services,Not specified,CPA,"$6,000","Up to $2,000 a month for 3 months",Household up to 80% AMI,,,,,,,,,,,,5.0,1.0,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,5.0,1.0,,,,
Great Barrington,Construct Berkshire,Not specified,Trust,Not specified,Not specified,Households up to 100% AMI,Not specified,"Courtney Kimball, ckimball@constructberkshire.org",https://www.gbhousing.org/rental-assistance,,,,,,,,,,,28.0,2.0,,,,,,,,,,,14.0,1.0,,,,,,,,,14.0,1.0,28.0,2.0,,,14.0,1.0
Groton,MetroWest Collaborative Development,"$200,000",CPA,Not specified,"Up to 4 months of assistance, maxmium monthly payment: $800/1BR, $1,000/2BR, $1200/3BR",Households up to 80% AMI,Applications due December 18,"Merkeisha Dickson, merkeisha@metrowestcd.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill,Haverhill Department of Community Development,"$400,000","CDBG-CV, HOME, One Haverhill Fund through United Way","$2,100",Not specified,Not specified,Not specified,Not specified,https://www.cityofhaverhill.com/COH%20Emergency%20Rental%20Flyer%20with%20Link.pdf,,,3.0,2.0,3.0,2.0,21.0,13.0,32.0,20.0,4.0,3.0,6.0,4.0,,,8.0,5.0,6.0,4.0,,,,,,,,,3.0,2.0,,,1.0,1.0,,,,,,
Holliston,Holliston Youth and Family Services,"$25,000",CARES Act,"$2,000",Not specified,"Not based on income, based on need",Not specified,"Jaclyn Winer, 508-429-0620",https://www.townofholliston.us/youth-and-family-services/news/holliston-rent-mortgage-relief,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,7.0,1.0,,,,,,,,,,,,
Hudson,Town of Hudson,Not specified,Trust,"$1,500",Up to $500/month for 3 months,Housholds up to 80% AMI,Ends in May,"Jack Hunter, DIrector of Planning and Community Development, jhunter@townofhudson.org",https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/assistance_flyer.docx.pdf,,,,,,,,,,,,,,,,,15.0,3.0,,,5.0,1.0,,,,,5.0,1.0,,,26.0,5.0,,,,,,,,
Ipswich,Action Inc.,"$100,000",Trust,Not specified,Not specified,Households up to 100% AMI,June 2021,"Christina Aubin, chistinaa@ipswitchma.gov",https://actioninc.org/rental-and-mortgage-assistance-now-available/,"Participants will pay up to 40% of their income toward their rent or mortgage payments and the program will pay the balance (up to 60%). If participants do not have income, Action will work with them to help them gain income. Each landlord will be required to sign a contract in which they agree to accept the funds and not evict the tenant for the duration of the program.",,,,,,,,,,7.0,1.0,,,7.0,1.0,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,
Lenox,Construct Berkshire,Not specified,Trust,Not specified,Not specified,Households up to 100% AMI,Not specified,"Courtney Kimball, ckimball@constructberkshire.org",https://www.townoflenox.com/affordable-housing-trust-committee/files/emergency-rental-assistance-application-english,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,,,,,,,,,,,,
Lexington,Town of Lexington,"$275,000",Existing Lexington Emergency Assistance Fund (LEAF) recieved additional donations in response to COVID-19 crisis,Varies by need,Not specified,Varies by need,Ongoing program,"Amanda Loomis, Planning Director, aloomis@lexingtonma.gov",https://www.lexingtonma.gov/human-services/pages/emergency-financial-assistance,,,,,3.0,1.0,,,,,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Littleton Elder and Human Services Department,"$50,000",Trust/CPA,"$3,450","Maximum benefit is based on rental unit size, so the maximum total is $3,450 for a household with a 3-bedroom rental unit",Households up to 80% AMI,"Until $50,000 runs out","Mauren Toohill, Town Planner, mtoohill@littletonma.org",https://www.littletonma.org/elder-and-human-services/pages/emergency-rental-assistance-program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malden,Malden Redevelopment Authority,"$750,000","CDBG-CV, CPA","$3,600","Maximum benefit is based on rental unit size and for one month's rent, so the maximum total is $3,600 for a household with a 5-bedroom rental unit",Households up to 50% AMI,Lottery closed.,"Alex Pratt, Community Development Director, apratt@maldenredevelopment.com",https://www.cityofmalden.org/735/Rental-Assistance-Program-for-COVID-19,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,26.0,16.0,3.0,2.0,3.0,2.0,8.0,5.0,5.0,3.0,13.0,8.0,,,,,1.0,1.0,10.0,6.0,,,,,,,,,6.0,4.0
Manchester,Action Inc.,Not specified,Trust/CPA,Not specified,Not specified,Households up to 100%AMI,Not specified,"Action Inc., 978-282-1000",https://actioninc.org/rental-and-mortgage-assistance-now-available/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,,,,
Marshfield,United Way,Not specified,Donations ,Not specified,Not specified,Not specified,Not specified,Not specified,https://unitedwaymassbay.org/covid-19/local-funds/marshfield/,"Marshfield Community Fund will be flexible to respond as the needs of the Marshfield community evolve. Immediate needs have been defined as support for rent and other housing needs, food, utilities, internet connectivity for families with school-aged children, childcare and access to out-of-school time programs, medications and other basic needs. Priority will be given to those who are most economically vulnerable to this crisis. ",,3.0,1.0,,,,,,,7.0,2.0,,,3.0,1.0,3.0,1.0,3.0,1.0,11.0,3.0,,,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,35.0,9.0,7.0,2.0,,,3.0,1.0
Martha's Vineyard,Dukes County Regional Housing Authroity,"$150,000","Permanent Endownment of Martha's Vineyard donations, additional CPA funds for rental assistance, and other local funds",Not specified,1 month's rent based off of 100% AMI rent calculation,Households up to 80% AMI,"Ongoing program, can allocate additional funds if needed","David Vigneault, DCRHA, david@housingauthoritymv.org",https://dcrha.files.wordpress.com/2020/05/eerp-updated-5-11-20.pdf,Existing program expanded in response to COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynard,Regional Housing Services Office (RHSO),"$70,000",Trust/CPA,"$3,200","1 BR $1,400 ($350/month for 4 months)
2 BR $2,000 ($500/month for 4 months)
3 BR $2,600 ($650/month for 4 months)
4 BR $3,200 ($800/month for 4 months)",Households up to 100% AMI,"Starts August 1, 2020","Rick Lefferts, Maynard AHT Chair, rtlefferts@aol.com and Liz Valenta at RHSO liz@rhsohousing.org",https://www.rhsohousing.org/home/urgent-alerts/covid-19-information-affordable-households-updated-july-2-2020,"They are seeking additional funding to expand the program but it is not approved.  (July 31, 2020)",,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,
Medford,"ABCD and Housing Families, Inc.","$125,000, another $125,000 will be released after a pending report about the demand of the program, considering CARES Act and CDBG funding",CPA,Not specified,Not specified,Households up to 80% AMI,Not specified,"ABCD, housing@bostonabcd.org",https://bostonabcd.org/service/rental-assistance-in-medford/,,,1.0,1.0,,,1.0,1.0,,,7.0,4.0,,,3.0,2.0,1.0,1.0,5.0,3.0,,,8.0,5.0,3.0,2.0,,,7.0,4.0,1.0,1.0,7.0,4.0,,,1.0,1.0,3.0,2.0
Milton,Metro Housing Boston,"$100,000",HOME,"$4,000",Not specified,Households up to 60% AMI,Ends in August 2020,Not specified,https://www.townofmilton.org/planning-community-development/pages/local-emergency-rental-assistance-fund,,,,,,,,,,,3.0,1.0,,,,,,,3.0,1.0,,,,,,,,,7.0,2.0,,,3.0,1.0,,,,,3.0,1.0
Monson,Way Finders,"$127,500",CPA,Not specified,Not specified,Households up to 60% AMI,At least a year,"Daniel Laroche, Town Planner, dlaroche@monson-ma.gov",https://www.wayfinders.org/way-finders-housing-center-services,,,,,,,,,,,,,,,,,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Nantucket,"Nantucket Food, Fuel, and Rental Assistance","$500,000","Interfaith Council fundraising, CPA Town, Community Foundation for Nantucket, and ACK Saves.","Up to $5,000 of assistance, $6,000 for elderly and long-term ill/injured",Not specified,Households up to 80% AMI,"Ongoing program, but added Town/CPA $ is for a year.","Janis Carreiro, nffra@assostnantucket.org",https://www.assistnantucket.org/,This is an existing program.,,,,,,,,9.0,1.0,,,9.0,1.0,,,,,9.0,1.0,9.0,1.0,,,9.0,1.0,9.0,1.0,9.0,1.0,,,,,,,,,19.0,2.0
Natick,Natick Service Council,"$45,000","Trust, HOME-TBRA",Not specified,Not specified,Not specified,Not specified,"Ted Fields, Senior Planner, tfields@natickma.org",https://natickservicecouncil.org/,,,3.0,1.0,,,,,,,,,,,3.0,1.0,,,9.0,3.0,,,,,9.0,3.0,,,3.0,1.0,3.0,1.0,,,6.0,2.0,,,,
Newburyport,The Pettenghill House,"$100,000",Trust,"$4,500","$1,500/month for up to 3 months of assistance",Households up to 80% AMI,Until funding runs out,"Katelyn Sullivan, Planner, kesullivan@cityofnewburyport.com",http://pettengillhouse.org/newburyport_rent_assistance.aspx,AHT is considering an out of round CPA request for additional funds. (7/31/20),,5.0,1.0,,,5.0,1.0,,,34.0,6.0,,,5.0,1.0,,,5.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,
Newton,MetroWest Collaborative Development,"$2.5 million: $500,000 is CDBG-CV and $2 million from CPA","CDBG-CV, CPA","$15,000","Up to $2,500 per month for 6 months","Households up to 80% AMI, priority to households up to 65% AMI",June 2020 lottery,"Amanda Berman, Director of Housing and Community Development, aberman@newtonma.gov",http://www.newtonma.gov/gov/planning/hcd/affhousing/default.asp,"At their September 15 meeting, the CPC met with Newton's Housing staff for a presentation on the status of the Rental Housing Assistance program. The CPC unanimously voted to approve the staff recommendation to amend the program to provide up to six months of assistance to low income households which have been negatively impacted by Covid-19. Previously, the funding was only available for a 3 month period.",,,,,,,,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,1.0,1.0
Norfolk,Norfolk Municipal Affordable Housing Trust,"$50,000",CPA,"$1,500",Up to 3 months of assistance,Household up to 80% AMI,TBD,"Susan Jacobson, sjacobson@norfolk.ma.us",http://www.virtualnorfolk.org/boards-committees/affordable-housing-trust/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Andover,The Greater Lawrence Community Action Council,"$100,000",Trust,"$3,000","50% of tenant's rent/month , max of $1,000 per month for up to 3 months of assistance",Households up to 100% AMI,Until September 2020,"Laurie Burzlaff, lburzlaff@northandoverma.gov",https://drive.google.com/file/d/1wJMGyIm0cYpECRUcJJYYL6Wg6ypthyx2/view,,,,,,,7.0,2.0,3.0,1.0,,,,,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,10.0,3.0,,,,
Northampton,Community Action Pioneer Valley,"$94,956",CDBG,"$2,200",Up to 3 months of assistance,Housholds up to 80% AMI,Not specified,413-475-1570,https://www.communityaction.us/,Includes rental and utilities arrears,,,,,,3.0,1.0,,,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Norwood,South Middlesex Opportunity Council (SMOC),Not specified,CARES Act funds,"$4,000","Up to $4,000 is available per household over a 12-month period",Household up to 80% AMI,Not specified,Not specified,,,,,,3.0,1.0,,,,,87.0,25.0,3.0,1.0,6.0,2.0,,,6.0,2.0,55.0,16.0,,,,,,,,,,,,,6.0,2.0,17.0,5.0,,
Pittsfield,Berkshire Regional Housing Authority,"$100,000 CPA, $119,000 CDBG",CPA,Not specified,Up to 3 months of assistance,"CPA funds will be for Households up to 80% AMI, up to 50% AMI for CDBG",Until September or October 2020,"Justine Dodds, Community Development Program Manager, jdodds@cityofpitsfield.org",Not specified,,,4.0,2.0,4.0,2.0,,,26.0,12.0,37.0,17.0,2.0,1.0,20.0,9.0,29.0,13.0,2.0,1.0,8.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,,,,,37.0,17.0,2.0,1.0,8.0,4.0,4.0,2.0
Randolph,United Way,Not specified,Donations,Not specified,Not specified,Not specified,Not specified,NeighborWorks Housing Solutions,https://docs.google.com/forms/d/e/1FAIpQLSfBYZognsy7JNv0PunuW0jTy_5w9hQU4addHtFiAWP6h2SVEw/viewform,"The Resilient Randolph Fund will cover the costs of essential needs including, but not limited to, rent, mortgage, food, utilities, medications, and other basic necessities. At this time, this fund is not intended to support nonprofit capacity. It will rather focus on the basic needs of families. Priority will be given to those who are most economically vulnerable to this crisis. All donations will be collected by United Way and distributed by South Shore Stars and NeighborWorks Housing Solutions, established Randolph nonprofit organizations with a track record of administering assistance funds.",,,,3.0,1.0,,,,,6.0,2.0,,,3.0,1.0,,,24.0,8.0,34.0,11.0,,,,,,,,,,,,,6.0,2.0,6.0,2.0,62.0,20.0
Revere,Metro Housing Boston,"$1,000,000",CARES Act,Not specified,Not specified,Households up to 80% AMI,Not specified,Not specified,https://www.revere.org/departments/public-health-division/coronavirus/covid-19-rental-assistance#relief,,,,,,,3.0,2.0,5.0,3.0,3.0,2.0,15.0,8.0,17.0,9.0,21.0,11.0,11.0,6.0,9.0,5.0,7.0,4.0,5.0,3.0,,,5.0,3.0,11.0,6.0,13.0,7.0,7.0,4.0,15.0,8.0,9.0,5.0
Rockport,Action Inc.,Not specified,Not specified,Not specified,Not specified,Households up to 80% AMI,Not specified,"Action Inc., 978-282-1000",https://actioninc.org/rental-and-mortgage-assistance-now-available/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,,,,,,,,
